Codigo,Fase,Etapa,Actividad,Tarea,Responsable,Inicio,Fin,Duracion_dias_habiles,Estado,Predecesora,Tipo_vinculo,Es_hito,Ruta_critica,Nota_de_correccion
T1.1.1.01,F1 · Identificación,E1.1 Inicio y sensibilización,A1.1.1 Revisión de la norma,Análisis de la Norma Técnica N.º 002-2025-PCM-SGP,OR,01/06/2025,22/07/2025,51,CONFORME,—,—,NO,NO,Se corrige el rango del gráfico para incluir junio 2025 (antes empezaba en julio y esta tarea no se graficaba).
T1.1.2.01,F1 · Identificación,E1.1 Inicio y sensibilización,A1.1.2 Difusión y arranque,Preparación de material de difusión,OR,22/07/2025,04/08/2025,13,CONFORME,T1.1.1.01,FC,NO,NO,Antes compartía el código 1.1.2.1 con la tarea siguiente.
T1.1.2.02,F1 · Identificación,E1.1 Inicio y sensibilización,A1.1.2 Difusión y arranque,Presentación de la continuidad de la Gestión por Procesos,OR,04/08/2025,09/08/2025,5,CONFORME,T1.1.2.01,FC,NO,NO,"Antes estaba en la Actividad «Campaña de Difusión», que duplicaba el código 1.1.2."
T1.1.3.01,F1 · Identificación,E1.1 Inicio y sensibilización,A1.1.3 Capacitación inicial,Capacitación y asesoría a los Dueños de Proceso en la identificación de productos,OR,11/08/2025,20/09/2025,40,CONFORME,T1.1.2.02,FC,NO,NO,
T1.2.1.01,F1 · Identificación,E1.2 Identificación de procesos,A1.2.1 Elaboración de la Guía,Preparación del material para la elaboración de la Guía de GxP,OR,23/09/2025,04/10/2025,11,CONFORME,T1.1.3.01,FC,NO,NO,
T1.2.2.01,F1 · Identificación,E1.2 Identificación de procesos,A1.2.2 Reajuste del Mapa de Procesos,Análisis de la información preexistente (Mapa e Indicadores),OR,06/10/2025,17/10/2025,11,CONFORME,T1.2.1.01,FC,NO,NO,
T1.2.2.02,F1 · Identificación,E1.2 Identificación de procesos,A1.2.2 Reajuste del Mapa de Procesos,Presentación de los hallazgos del Mapa e Indicadores,OR,27/10/2025,31/10/2025,4,CONFORME,T1.2.2.01,FC,NO,NO,
T1.2.2.03,F1 · Identificación,E1.2 Identificación de procesos,A1.2.2 Reajuste del Mapa de Procesos,Recepción del feedback del Mapa de Procesos de las 20 Facultades,OR / Facultades,16/12/2025,14/03/2026,88,CONFORME,T1.2.2.02,FC,NO,NO,
H1.2.2.04,F1 · Identificación,E1.2 Identificación de procesos,A1.2.2 Reajuste del Mapa de Procesos,Mapa de Procesos Estándar presentado a las Facultades,OGPL,27/02/2026,27/02/2026,0,CONFORME,T1.2.2.03,CC+50,SI,NO,"Declarado como hito. Vínculo comienzo-comienzo: se presentó con el feedback parcial, mientras la recepción seguía abierta hasta el 14/03."
H1.2.3.01,F1 · Identificación,E1.2 Identificación de procesos,A1.2.3 Aprobación de la Guía,Guía de Gestión por Procesos aprobada y emitida,OGPL,02/03/2026,02/03/2026,0,CONFORME,H1.2.2.04,FC,SI,NO,Declarado como hito. Antes figuraba como tarea de duración 0.
T1.3.1.01,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.1 Ajuste de instrumentos,Ajustes de las fichas de productos y procesos (Anexos 1 y 3),OR,27/02/2026,07/03/2026,8,CONFORME,H1.2.2.04,FC,NO,NO,
T1.3.2.01,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,Indicador estándar de PE.01 Gestión Estratégica,OR / UPPR,02/03/2026,09/03/2026,7,CONFORME,T1.3.1.01,FC,NO,NO,En la bitácora v1 esta tarea se llamaba 1.3.1.2. Código unificado.
T1.3.2.02,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,Indicador estándar de PE.02 Gestión de la Calidad y Mejora Continua,OR / OCCAA,27/04/2026,06/05/2026,9,CONFORME,T1.3.2.01,FC,NO,NO,
T1.3.2.03,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,"Indicadores estándar de PM.01, PS.01, PS.02 y PS.03",OR,27/04/2026,06/05/2026,9,CONFORME,T1.3.2.01,FC,NO,NO,
T1.3.2.04,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,Indicadores estándar de PE.03 y PM.02,OR,03/08/2026,04/08/2026,1,CONFORME,T1.3.2.02,FC,NO,NO,Antes duplicaba el código 1.3.2.4 con la tarea siguiente.
T1.3.2.05,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,Indicadores estándar de PM.03 y PS.04 a PS.09,OR,03/08/2026,31/08/2026,28,EN PROCESO,T1.3.2.04,FC,NO,NO,Renumerada. Antes duplicaba el código 1.3.2.4 con distinto estado.
T1.3.2.06,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.2 Indicadores estándar,Indicador estándar de PS.10 Gestión de la Comunicación,OR,01/09/2026,04/09/2026,4,NO INICIADO,T1.3.2.05,FC,NO,NO,TAREA NUEVA. PS.10 no aparecía en el cronograma v1 y es el proceso ausente en 8 facultades.
T1.3.3.01,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.3 Documentación de procesos,Llenado del Anexo 1 y del Anexo 3 por facultad,Facultades / OR,03/03/2026,30/09/2026,211,EN PROCESO,H1.2.3.01,FC,NO,SI,Se retira el Anexo 2 del nombre: fue derogado por incompatibilidad con SIGPRO.
T1.3.3.02,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.3 Documentación de procesos,Levantamiento de las observaciones de los 1 901 productos observados,Facultades / OR,27/08/2026,17/09/2026,16,NO INICIADO,T1.3.3.01,CC,NO,SI,TAREA NUEVA. Es el trabajo dominante hasta setiembre y no existía en el cronograma v1.
T1.3.3.03,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.3 Documentación de procesos,Registro de los 73 procesos de Nivel 0 obligatorios ausentes,Facultades / OR,27/08/2026,10/09/2026,11,NO INICIADO,T1.3.3.01,CC,NO,NO,TAREA NUEVA. Afecta a 13 de las 20 facultades.
T1.3.3.04,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.3 Documentación de procesos,Auditoría de codificación de las 20 pestañas contra el catálogo maestro,OR,27/08/2026,08/09/2026,9,NO INICIADO,T1.3.3.01,CC,NO,NO,TAREA NUEVA. Corrige el desplazamiento de PS.04–PS.10 y los formularios ajenos de FCF y FIGMMG.
T1.3.4.01,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.4 SIGPRO · versión mínima,Front-end culminado,OR – MELI,01/09/2026,25/09/2026,24,EN PROCESO,—,—,NO,NO,Holgura de 3 días hábiles respecto del hito de cierre.
H1.3.4.02,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.4 SIGPRO · versión mínima,SIGPRO disponible en modo consulta,OGPL,30/09/2026,30/09/2026,0,NO INICIADO,T1.3.4.01,FC,SI,NO,DECISIÓN v2: la Fase 1 solo exige disponibilidad en modo consulta. El backend y los módulos pasan a la Fase 2.
T1.3.5.01,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.5 Consolidación y cierre,Revisión y validación de los MAGPROF de las 20 facultades,OR,18/09/2026,24/09/2026,5,NO INICIADO,T1.3.3.02,FC,NO,SI,"Antes era la Actividad 1.3.5, con código de tarea que colisionaba con el indicador de PE.01."
T1.3.5.02,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.5 Consolidación y cierre,Aprobación de los MAGPROF por los Decanos,Decanos,25/09/2026,29/09/2026,3,NO INICIADO,T1.3.5.01,FC,NO,SI,Un solo aprobador: el Decano. El Jefe de OGPL pasa a consultado (corrige la doble A del RACI).
H1.3.5.03,F1 · Identificación,E1.3 Elaboración del MAGPROF,A1.3.5 Consolidación y cierre,Cierre de la Fase 1 — Identificación,OGPL,30/09/2026,30/09/2026,0,NO INICIADO,T1.3.5.02,FC,SI,SI,"FECHA ÚNICA. Antes convivían tres: 30/09 en el alcance, 01–03/10 en las fechas y «30 Oct» en el nombre."
T2.1.1.01,F2 · Implementación,E2.1 Diagramación de procedimientos,A2.1.1 Desarrollo de flujogramas,Diagramación de los procedimientos en Bizagi,OR / Facultades,01/10/2026,30/11/2026,43,NO INICIADO,H1.3.5.03,FC,NO,SI,
T2.1.1.02,F2 · Implementación,E2.1 Diagramación de procedimientos,A2.1.1 Desarrollo de flujogramas,Validación de los procedimientos en Bizagi con las Facultades,OR / Facultades,01/12/2026,15/01/2027,32,NO INICIADO,T2.1.1.01,FC,NO,SI,
T2.2.1.01,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Backend integrado y sistema base operativo,OR – MELI / Programador,01/10/2026,16/10/2026,12,NO INICIADO,H1.3.4.02,FC,NO,NO,"Trasladada desde la Fase 1. En v1 empezaba el 25/06, antes que el front-end del que depende."
T2.2.1.02,F2 · Implementación,E2.2 SIGPRO · desarrollo y despliegue,A2.2.1 Construcción del sistema,Módulo de encuesta terminado,OR – MELI,19/10/2026,30/10/2026,10,NO INICIADO,T2.2.1.01,FC,NO,NO,Trasladada desde la Fase 1.
