Codigo_subtarea,Tarea_padre_cronograma,Descripcion,Responsable,Participa,Proceso,Inicio,Fin,Estado,Observacion
S1.3.2.01.01,T1.3.2.01,Revisar los indicadores del Plan Estratégico 2026-2030,OR,Equipo UPPR,PE.01,10/03/2026,13/03/2026,CONFORME,
S1.3.2.01.02,T1.3.2.01,Determinar el mecanismo de control «Porcentaje de ejecución presupuestaria de recursos directamente recaudados»,OR,Equipo OR,PE.01,17/03/2026,18/03/2026,CONFORME,
S1.3.2.01.03,T1.3.2.01,Determinar el mecanismo de control «Hoja de reporte de recursos ordinarios (RO)»,OR,Equipo OR,PE.01,19/03/2026,20/03/2026,CONFORME,
S1.3.2.01.04,T1.3.2.01,Determinar el mecanismo de control «Porcentaje de cumplimiento de acciones estratégicas»,OR,Equipo OR,PE.01,23/03/2026,24/03/2026,CONFORME,
S1.3.2.01.05,T1.3.2.01,Determinar el mecanismo de control «Hoja de reporte de actividades operativas ejecutadas»,OR,Equipo OR,PE.01,25/03/2026,26/03/2026,CONFORME,
S1.3.2.01.06,T1.3.2.01,Diagramar el procedimiento D.01 Formulación del Plan Estratégico,OR,Equipo OR,PE.01,27/03/2026,28/03/2026,CONFORME,
S1.3.2.01.07,T1.3.2.01,Diagramar el procedimiento D.02 Seguimiento del Plan Estratégico,OR,Equipo OR,PE.01,31/03/2026,02/04/2026,CONFORME,
S1.3.2.01.08,T1.3.2.01,Diagramar el procedimiento D.03 Evaluación del Plan Estratégico,OR,Equipo OR,PE.01,03/04/2026,05/04/2026,CONFORME,
S1.3.2.01.09,T1.3.2.01,Diagramar el procedimiento D.04 Formulación del Plan Operativo,OR,Equipo OR,PE.01,06/04/2026,07/04/2026,CONFORME,
S1.3.2.01.10,T1.3.2.01,Diagramar el procedimiento D.05 Evaluación del Plan Operativo,OR,Equipo OR,PE.01,10/04/2026,12/04/2026,CONFORME,
S1.3.2.02.01,T1.3.2.02,Reunión de trabajo: presentar el indicador de PE.02,OGPL / OCCAA / OCAA,"Equipo OR, OCCAA y OCAA",PE.02,13/04/2026,13/04/2026,CONFORME,Reunión virtual por cierre de la universidad.
S1.3.2.02.02,T1.3.2.02,Elaborar el diagrama preliminar,OGPL,Equipo OR y OCCAA,PE.02,14/04/2026,14/04/2026,CONFORME,
S1.3.2.02.03,T1.3.2.02,Revisar y analizar los flujogramas de PE.02 remitidos por las facultades,OR,Equipo OR,PE.02,14/04/2026,14/04/2026,OBSERVADO,Solo 6 de 20 facultades remitieron la diagramación. Riesgo R-01.
S1.3.2.02.04,T1.3.2.02,Diagramar D.01 Formación del Comité de Calidad,OR,Equipo OR,PE.02,14/04/2026,15/04/2026,CONFORME,Base: guías publicadas por la OCCAA.
S1.3.2.02.05,T1.3.2.02,Diagramar D.02 Planificación de la Autoevaluación,OR,Equipo OR,PE.02,15/04/2026,15/04/2026,CONFORME,
S1.3.2.02.06,T1.3.2.02,Diagramar D.03 Desarrollo de la Autoevaluación,OR,Equipo OR,PE.02,15/04/2026,16/04/2026,CONFORME,
S1.3.2.02.07,T1.3.2.02,Diagramar D.04 Evaluación Externa,OR,Equipo OR,PE.02,16/04/2026,16/04/2026,CONFORME,
S1.3.2.02.08,T1.3.2.02,Diagramar D.05 Acreditación,OR,Equipo OR,PE.02,16/04/2026,17/04/2026,CONFORME,
S1.3.2.02.09,T1.3.2.02,Diagramar D.06 Seguimiento,OR,Equipo OR,PE.02,17/04/2026,17/04/2026,CONFORME,
S1.3.2.02.10,T1.3.2.02,Ajustar los diagramas,OR,Equipo OR,PE.02,17/04/2026,17/04/2026,CONFORME,
S1.3.2.02.11,T1.3.2.02,Ajustar los procedimientos preliminares con la OCCAA,OCCAA,Equipo OCCAA,PE.02,20/04/2026,20/04/2026,CONFORME,Visita de pares evaluadores dificultó la reunión. Incidencia INC-05.
S1.3.2.02.12,T1.3.2.02,Reajustar o aprobar D.01 Formación del Comité de Calidad,OCCAA,Equipo OCCAA,PE.02,21/04/2026,22/04/2026,CONFORME,La OCCAA brindó observaciones de reajuste.
S1.3.2.02.13,T1.3.2.02,Reajustar o aprobar D.02 Planificación de la Autoevaluación,OCCAA,Equipo OCCAA,PE.02,22/04/2026,23/04/2026,CONFORME,La OCCAA brindó observaciones de reajuste.
S1.3.2.02.14,T1.3.2.02,Reajustar o aprobar D.03 Desarrollo de la Autoevaluación,OCCAA,Equipo OCCAA,PE.02,23/04/2026,24/04/2026,EN PROCESO,La OCCAA no emitió recomendación: falta listar las evidencias por estándar del modelo CONEAU 2025. Riesgo R-03.
S1.3.2.02.15,T1.3.2.02,Reajustar o aprobar D.04 Evaluación Externa,OCCAA,Equipo OCCAA,PE.02,24/04/2026,25/04/2026,CONFORME,La OCCAA brindó observaciones de reajuste.
S1.3.2.02.16,T1.3.2.02,Reajustar o aprobar D.05 Acreditación,OCCAA,Equipo OCCAA,PE.02,25/04/2026,26/04/2026,CONFORME,La OCCAA brindó observaciones de reajuste.
S1.3.2.02.17,T1.3.2.02,Reajustar o aprobar D.06 Seguimiento,OCCAA,Equipo OCCAA,PE.02,26/04/2026,27/04/2026,CONFORME,La OCCAA brindó observaciones de reajuste.
S1.3.2.02.18,T1.3.2.02,Aprobar los procedimientos de PE.02,OCCAA,Equipo OCCAA,PE.02,27/04/2026,30/04/2026,NO INICIADO,Bloqueado por la falta del listado de evidencias. Riesgo R-03.
S1.3.2.02.19,T1.3.2.02,Desarrollar el instrumento de encuesta para medir los 29 indicadores de CONEAU,OR,Equipo OR y OCCAA,PE.02,06/05/2026,06/05/2026,CONFORME,Reprogramada por cruce con actividades de aniversario.
S1.3.2.02.20,T1.3.2.02,Revisar bibliografía para las encuestas dirigidas a estudiantes,OR,Equipo OCCAA,PE.02,06/05/2026,11/05/2026,CONFORME,
S1.3.2.02.21,T1.3.2.02,Redactar las encuestas dirigidas a estudiantes,OR,Equipo OCCAA,PE.02,22/05/2026,23/05/2026,CONFORME,Reanudada tras la toma de la universidad. Incidencia INC-01.
S1.3.2.02.22,T1.3.2.02,Revisar bibliografía para las encuestas dirigidas a docentes,OR,Equipo OCCAA,PE.02,23/05/2026,26/05/2026,CONFORME,
S1.3.2.02.23,T1.3.2.02,Redactar las encuestas dirigidas a docentes,OR,Equipo OCCAA,PE.02,26/05/2026,31/05/2026,CONFORME,
S1.3.2.02.24,T1.3.2.02,Revisar bibliografía para las encuestas dirigidas a egresados,OR,Equipo OCCAA,PE.02,31/05/2026,03/06/2026,CONFORME,
S1.3.2.02.25,T1.3.2.02,Redactar las encuestas dirigidas a egresados,OR,Equipo OCCAA,PE.02,03/06/2026,05/06/2026,CONFORME,
S1.3.2.02.26,T1.3.2.02,Reunión de revisión de los ítems propuestos,OCCAA,"Equipo OR, OCCAA y OCAA",PE.02,10/06/2026,10/06/2026,CONFORME,
S1.3.2.02.27,T1.3.2.02,"Remitir los ítems preliminares al VRAP, a los jefes de OCAA y al presidente del comité",OR,Equipo OR,PE.02,10/06/2026,10/06/2026,CONFORME,
S1.3.2.02.28,T1.3.2.02,Recepcionar la retroalimentación de los ítems,OR,Equipo OR,PE.02,10/06/2026,18/06/2026,OBSERVADO,Solo 3 facultades respondieron; el VRAP no remitió retroalimentación. Riesgo R-02.
S1.3.2.02.29,T1.3.2.02,Analizar la incorporación de las retroalimentaciones,OR,Equipo OR,PE.02,18/06/2026,22/06/2026,CONFORME,
S1.3.2.02.30,T1.3.2.02,Reuniones con presidentes de comité y jefes de OCAA,OCCAA,"Equipo OR, OCCAA y OCAA",PE.02,23/06/2026,26/06/2026,CONFORME,
